Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
1076312,LOS GIRASOLES,LOS GIRASOLES,1492738,Restaurant,Risk 1 (High),3661-3663 S ARCHER AVE,CHICAGO,IL,60609,06/15/2012,Canvass,Pass w/ Conditions,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CITY OF CHICAGO CERTIFIED MANAGER ON DUTY WHILE HANDLING POTENTIALLY HAZARDOUS FOODS (BEANS, BEEF). INSTD TO HAVE ON DUTY AT ALL TIMES. CITATION ISSUED 7-38-012 SERIOUS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: IMPROPER CONTAINERS BEING USED TO STORE FOOD AND SALSA (GROCERY BAGS AND MILK GALLONS). INSTD TO USE PROPER FOOD CONTAINERS. CONDENSOR LINE LEAKING IN PREP COOLER. REPAIR SAME. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: BASEMENT FLOOR NEEDS DETAILED CLEANING IN CORNERS, FREE OF SPIDERWEBS.",41.82726170096588,-87.6825171488719,"(41.82726170096588, -87.6825171488719)"
1576003,PIONEER GARDENS,PIONEER GARDENS,1677537,Assisted Living Senior Care,Risk 1 (High),3800 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60653,09/23/2015,Canvass Re-Inspection,Pass,,41.825555997610344,-87.61717841809924,"(41.825555997610344, -87.61717841809924)"
1321775,LA CHAPARRITA DE CHICAGO #2,LA CHAPARRITA DE CHICAGO #2,1869225,Restaurant,Risk 1 (High),5957 S KEDZIE AVE,CHICAGO,IL,60629,02/07/2013,Canvass,Fail,"10. SEWAGE AND WASTE WATER DISPOSAL, NO BACK SIPHONAGE, CROSS  CONNECTION AND/OR BACK FLOW - Comments: WASTE WATER PROFUSELY LEAKING FROM 3-COMPARTMENT SINK BASIN DIVIDERS AND ALL ATTACHED PLUMBING UNDENEATH CAUSING  STANDING ACCUMULATION ON FLOOR, UNABLE TO USE SINK TO PROPERLY WASH, RINSE AND SANITIZE EQUIPMENT PROPERLY. CITATION ISSUED 7-38-030 CRITICAL. | 13. NO EVIDENCE OF RODENT OR INSECT INFESTATION, NO BIRDS, TURTLES OR OTHER ANIMALS - Comments: NOTED MICE INFESTATION IN VARIOUS AREAS OF PREMISES. OVER 200 DROPPINGS NOTED SCATTERED ALONG WALLBASE, IN CORNERS AND IN MOTORS OF COOLERS IN STORAGE AREAS. OVER 50 DROPPINGS NOTED ALONG WALL BASE SCATTERED IN REAR PREP AREA BEHIND EQUIPMENT, 5 MICE DROPPINGS NOTED UNDER FRONT EXPOSED HANDSINK. LIVE ROACHES NOTED ON FLOOR IN FRONT PREP AREA AND IN DINING AREA. DEAD ADULT ROACH NOTED ON SERVING PLATE, DEAD ROACH NOTED ON SOAP DISPENSER AND ROACH FECES NOTED ON MULTI-USE UTENSILS AND WALLS IN PREP AREA. FRONT AND REAR DOOR NOT RODENT PROOF, APPROX., 1/2 INCH GAP NOTED AT BOTTOM OF DOORS. INSTD TO REMOVE ALL DROPPINGS, ROACHES, CLEAN AND SANITIZE ALL AFFECTED AREAS, AND RODENT PROOF ALL DOORS. CITATION ISSUED 7-38-020 CRITICAL. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: ALL COOKED FOODS IN COOLERS/FREEZER NOT LABELED OR DATED. INSTD TO PROPERLY DO SO. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: ALL RAW WOOD SURFACES THRU-OUT FRONT PREP AREA NEED TO BE SEALED/PAINTED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: THE FOLLOWING NOT CLEAN, DEBRIS ACCUMULATION INCLUDING ALL COOLERS/FREEZERS INCLUDING RUBBER GASKETS, ALL PREP TABLES, STORAGE SHELVES, CABINETS, EXTERIOR/INTERIOR OF FRYERS INCLUDING WHEELS, AND ALL COOKING EQUIPMENT AND ATTACHED PIPING. INSTD TO CLEAN SAME. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR THRU-OUT UNDER AND BEHIND HEAVY EQUIPMENT NOT CLEAN. CLEAN SAME. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: WALLS THRU-OUT PREP AREA NOT CLEAN AND WORN SURFACES. INSTD TO CLEAN AND PAINT WHERE NEEDED. WALLBASE IN FRONT PREP AREA IN POOR REPAIR, LOOSE/MISSING. REPLACE SAME. SMALL HOLES NOTED IN WALLS AND AROUND PIPING. INSTD TO SEAL ALL HOLES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REAR EXPOSED HANDSINK IN REAR PREP AREA. REPAIR SAME. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: EXTREME CLUTTER IN REAR STORAGE AREA AND UNUSED STOVE IN REAR. REMOVE SAME.",41.7846292761257,-87.70315583431551,"(41.7846292761257, -87.70315583431551)"
2282336,SUBS AND SHOP,SUBS AND SHOP,2584150,Restaurant,Risk 1 (High),10658 S STATE ST,CHICAGO,IL,60628,03/29/2019,Complaint,Fail,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO FOOD SANITATION CERTIFICATE FOR (PIC) ON PREMISES AT THIS TIME FOOD IS BEING PREPARED COOKED AND HANDLED (BEEF SANDWICHES,,FISH,  GROUND BEFF/ CHEESE,CHICKEN, ETC) PRIORITY FOUNDATION 7-38-012 | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY FOR EMPLOYEES. INSTRUCTED ( PIC) TO PROVIDE. PRIORITY FOUNDATION | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO EMPLOYEE PROCEDURE FOR VOMTING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH KIT THAT HAS ALL NECESSARY ITEMS OUTLINE IN POLICY INCLUDING FACE MASK, DISPOSABLE MOP, PLASTIC GLOVES AND APPROPICATE SANITIZER TO KILL THE NORO VIRUS. PRIORITY FOUNDATION. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: UPON INSPECTION OBSERVED HANDWASHING SINK NOT ACCESSIBLE FOR EMPLOYEE USE WHILE COOKING AND PREPARING FOOD.OBSERVED STACK OF PLASTIC FOOD TRAYS INSIDE OF SINK. PIC REMOVED TRAY. INSTRUCTED EMPLOYEE TO WASH HANDS-COS. INSTRUCTED THAT HANDWASHING SINK MUST BE ACCESSIBLE AT ALL TIMES,NOTHING INSIDE SINK ON OR IN FRONT OF SINK. PRIORITY FOUNDATION ISSUED 7-38-030(C) | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED NO QUATERNARY SANITIZER SOLUTION AVAILABLE FOR MANUAL DISHWASHING AT 3- COMPARTMENT SINK. INSTRUCTED TO PROVIDE TO PROPERLY SANITIZE ALL FOOD EQUIPMENT AND MULI USE UTENSILS BEING USED. PRIORITY VIOLATION 7-38-005 | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED TIME/TEMPERATURE CONTROL FOR SAFETY READY TO EAT FOODS OUT (CHEESE,DELI MEATS, COOKED MEAT) HELD FOR OVER 24 HOURS WITHOUT LABELS CONTAINING PRODUCT DATES. INSTRUCTED TO PROVIDE LABELS FOR ALL TCS READY TO EAT FOODS AND FOODS THAT ARE OUT OF THE ORIGINAL PACKAGING AND HELD FOR OVER 24 HOURS. PRIORITY FOUNDATION.  | 25. CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments: OBSERVED NO CONSUMER ADVISORY ON MENU FOR UNDERCOOKED FOODS, (HAMBURGERS,EGGS). INSTRUCTED THAT MENU MUST HAVE A REMINDER AND DISCLOSURE FOR ANY RAW OR UNDERCOOKED FOODS SERVED. PRIORITY FOUNDATION. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO METAL STEM THERMOMETER FOR TAKING FOOD TEMPERATURES. MUST PROVIDE. PRIORITY FOUNDATION | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PREPARED ON SITE SALADS FOR SALE TO THE PUBLIC INSIDE THE TO GO COOLER WITHOUT LIST OF INGREDIENTS LISTED ON PACKAGED AND SELL BY DATE. INSTRUCTED TO INSTALL PROPER LABELS. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED DRY STORAGE BULK NOT IN ORIGINAL CONTAINERS NOT LABELED WITH COMMON NAME AND KETCHUP, HOT SAUCE,ETC. INSTRUCTED TO INSTALL. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HANDWASHING SINK INSIDE OF EMPLOYEE WASHROOM THAT HAS BEEN REMOVED NOT INSTALLED. INSTRUCTED PIC TO RE- INSTALL THAT HANDWASHING SINK ACCORDING TO LAW. PRIORITY VIOLATION ISSUED 7-38-030(C) | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: MUST PROVIDE FOOD HANDLER REQUIREMENT FOR EMPLOYEE COOKING IN PREP AREA.",41.69991346998185,-87.62346150285656,"(41.69991346998185, -87.62346150285656)"
120297,Skinner Branch (Sousa),Skinner Branch (Sousa),70232,School,Risk 1 (High),225 S Aberdeen ST,CHICAGO,IL,60607,01/19/2010,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.    Wash, rinse and sanitize the 2 door reach in cooler interior and the cooler in room 222. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.    Repair the fallen ceiling in the room 224 bathroom. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.    The main boy's toilet bowl is out of order, several alternate toilets are available while awaiting repair parts.",41.87830746910662,-87.65443987066618,"(41.87830746910662, -87.65443987066618)"
1230079,MAMA LUCY'S CATERING CORPORATION,MAMA LUCY'S CATERING CORPORATION,2172507,Catering,Risk 1 (High),6054 S PRAIRIE AVE,CHICAGO,IL,60637,07/13/2012,License,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPLACE STAINED CEILING TILES IN FURNACE ROOM.   | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INSTALL VENTILATION ABOVE ALL COOKING EQUIPMENT ON SITE DUCT TO ROOF. (THREE OVENS) | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST REPAIR LEAKY FAUCET AT THE THREE COMPARTMENT SINK.   | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: PROVIDE MORE ADEQUATE SHELVING TO STROE ITEMS 6 INCHES OFF THE FLOOR IN FRONT OFFICE AREA.  (REMOVE CRATES)",41.78402929821425,-87.61909740436145,"(41.78402929821425, -87.61909740436145)"
1971176,JOEY'S G'S MAC AND CHEESE,JOEY'S G'S MAC AND CHEESE,2477048,Restaurant,Risk 1 (High),2351 W AUGUSTA BLVD,CHICAGO,IL,60622,11/09/2016,License,Not Ready,,41.899276249465515,-87.68650717185837,"(41.899276249465515, -87.68650717185837)"
604604,RUK SUSHI AND THAI,RUK SUSHI N THAI CUISINE,2108163,Restaurant,Risk 1 (High),4431 N MILWAUKEE AVE,CHICAGO,IL,60630,02/01/2012,Canvass,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: Found some food items not properly dated/labeled in coolers, reach in freezers, must date, and label food items in coolers, reach in freezers. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Rear storage cabinet shelving in kitchen prep area that had exposed raw wood, shall be repaired/sealed. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Non food contact surfaces of cooler shelving, door tracks not clean need detailed cleaning(crevices). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Floors under heavy equipment, cooking equipment in kitchen prep area need cleaning, floors in bsmt., storage areas need detailed cleaning(corners). | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: Stock items must be stored six inches off of floor to prevent pest harborage.",41.96155384444727,-87.75509939573654,"(41.96155384444727, -87.75509939573654)"
2184630,CARSON'S RIBS,CARSON'S RIBS,33555,Restaurant,Risk 1 (High),612 N WELLS ST,CHICAGO,IL,60654,07/13/2018,Canvass,Out of Business,,41.892858456612835,-87.63424923644835,"(41.892858456612835, -87.63424923644835)"
1138941,AY CHIWOWA,AY CHIWOWA,2233265,Restaurant,Risk 1 (High),311 W CHICAGO AVE,CHICAGO,IL,60654,05/15/2013,License Re-Inspection,Pass,,41.89645685790188,-87.63618117278183,"(41.89645685790188, -87.63618117278183)"
